"Date","Price","Open","High","Low","Change %"
"11/06/2024","0.420","0.600","0.640","0.400","-40.00%"
"11/05/2024","0.700","0.600","0.600","0.440","0.00%"
"11/04/2024","0.700","0.430","0.600","0.330","0.00%"
"11/01/2024","0.700","0.600","0.610","0.450","-1.41%"
"10/31/2024","0.710","0.470","0.630","0.370","-1.39%"
"10/30/2024","0.720","0.600","0.630","0.380","1.41%"
"10/29/2024","0.710","0.450","0.620","0.430","26.79%"
"10/28/2024","0.560","0.650","0.650","0.450","-13.85%"
"10/25/2024","0.650","0.640","0.650","0.450","0.00%"
"10/24/2024","0.650","0.650","0.660","0.450","8.33%"
"10/23/2024","0.600","0.480","0.600","0.480","-7.69%"
"10/22/2024","0.650","0.500","0.670","0.410","0.00%"
"10/21/2024","0.650","0.500","0.670","0.410","0.00%"
"10/18/2024","0.650","0.660","0.670","0.400","0.00%"
"10/17/2024","0.650","0.530","0.680","0.460","-2.99%"
"10/16/2024","0.670","0.540","0.700","0.520","-2.90%"
"10/15/2024","0.690","0.570","0.700","0.560","0.00%"
"10/14/2024","0.690","0.610","0.700","0.580","15.00%"
"10/11/2024","0.600","0.700","0.720","0.600","-17.81%"
"10/10/2024","0.730","0.620","0.730","0.590","0.00%"
"10/09/2024","0.730","0.620","0.730","0.590","0.00%"
"10/08/2024","0.730","0.610","0.770","0.580","1.39%"
"10/07/2024","0.720","0.610","0.770","0.580","-1.37%"
"10/04/2024","0.730","0.600","0.730","0.580","1.39%"
"10/03/2024","0.720","0.720","0.830","0.710","-1.37%"
"10/02/2024","0.730","0.700","0.820","0.570","-7.59%"
"10/01/2024","0.790","0.620","0.790","0.600","3.95%"
"09/30/2024","0.760","0.630","0.770","0.600","0.00%"
"09/27/2024","0.760","0.750","0.800","0.630","-2.56%"
"09/26/2024","0.780","0.780","0.830","0.670","2.63%"
"09/25/2024","0.760","0.680","0.760","0.660","0.00%"
"09/24/2024","0.760","0.740","0.910","0.660","-7.32%"
"09/23/2024","0.820","0.790","0.840","0.720","5.13%"
"09/20/2024","0.780","0.790","0.820","0.720","-2.50%"
"09/19/2024","0.800","0.780","0.810","0.720","0.00%"
"09/18/2024","0.800","0.790","0.820","0.720","1.27%"
"09/17/2024","0.790","0.770","0.820","0.720","-2.47%"
"09/16/2024","0.810","0.770","0.840","0.740","-1.22%"
"09/13/2024","0.820","0.780","0.870","0.750","-1.20%"
"09/12/2024","0.830","0.840","0.870","0.710","-4.60%"
"09/11/2024","0.870","0.760","0.870","0.750","8.75%"
"09/10/2024","0.800","0.770","0.910","0.730","-11.11%"
"09/09/2024","0.900","0.750","0.910","0.740","9.76%"
"09/06/2024","0.820","0.800","0.910","0.710","5.13%"
"09/05/2024","0.780","0.760","0.860","0.730","-8.24%"
"09/04/2024","0.850","0.820","0.860","0.740","0.00%"
"09/03/2024","0.850","0.760","0.940","0.750","0.00%"
"09/02/2024","0.850","0.760","0.880","0.750","-2.30%"
"08/30/2024","0.870","0.770","0.870","0.720","0.00%"
"08/29/2024","0.870","0.780","0.890","0.750","-3.33%"
"08/28/2024","0.900","0.900","0.900","0.770","0.00%"
"08/27/2024","0.900","0.820","0.910","0.770","0.00%"
"08/26/2024","0.900","0.780","0.900","0.740","0.00%"
"08/23/2024","0.900","0.780","0.910","0.750","0.00%"
"08/22/2024","0.900","0.790","0.900","0.750","0.00%"
"08/21/2024","0.900","0.780","0.920","0.750","-1.10%"
"08/20/2024","0.910","0.880","0.920","0.760","1.11%"
"08/19/2024","0.900","0.890","0.920","0.740","0.00%"
"08/16/2024","0.900","0.830","0.940","0.770","-3.23%"
"08/15/2024","0.930","0.920","0.940","0.750","1.09%"
"08/14/2024","0.920","0.890","0.920","0.750","0.00%"
"08/13/2024","0.920","0.800","0.940","0.750","-2.13%"
"08/12/2024","0.940","0.940","0.940","0.800","4.44%"
"08/09/2024","0.900","0.900","0.900","0.900","-4.26%"
"08/08/2024","0.940","0.830","0.940","0.820","0.00%"
"08/07/2024","0.940","0.950","0.950","0.810","5.62%"
"08/06/2024","0.890","0.810","0.900","0.780","5.95%"
"08/05/2024","0.840","0.780","1.000","0.720","-12.50%"
"08/02/2024","0.960","0.880","1.060","0.850","-1.03%"
"07/31/2024","0.970","1.020","1.080","0.930","-7.62%"
"07/30/2024","1.050","1.020","1.050","0.950","2.94%"
"07/29/2024","1.020","0.940","1.040","0.930","-2.86%"
"07/26/2024","1.050","1.050","1.080","0.940","1.94%"
"07/25/2024","1.030","1.010","1.050","0.940","-6.36%"
"07/24/2024","1.100","1.010","1.080","0.970","3.77%"
"07/23/2024","1.060","1.080","1.090","0.990","0.00%"
"07/22/2024","1.060","1.030","1.100","1.000","-1.85%"
"07/19/2024","1.080","1.080","1.080","1.000","1.89%"
"07/18/2024","1.060","1.010","1.100","1.000","0.95%"
"07/17/2024","1.050","1.100","1.100","0.980","-0.94%"
"07/16/2024","1.060","1.010","1.100","0.990","-3.64%"
"07/15/2024","1.100","1.010","1.100","0.990","1.85%"
"07/12/2024","1.080","1.090","1.110","1.000","-0.92%"
"07/11/2024","1.090","1.030","1.150","1.020","-1.80%"
"07/10/2024","1.110","1.050","1.150","1.020","-0.89%"
"07/09/2024","1.120","1.110","1.150","1.030","-0.88%"
"07/08/2024","1.130","1.080","1.150","1.050","-1.74%"
"07/05/2024","1.150","1.110","1.150","1.040","3.60%"
"07/04/2024","1.110","1.110","1.150","1.040","-1.77%"
"07/03/2024","1.130","1.080","1.170","1.060","0.89%"
"07/02/2024","1.120","1.080","1.150","1.020","0.90%"
"07/01/2024","1.110","1.050","1.150","1.000","0.00%"
"06/28/2024","1.110","1.050","1.150","1.020","0.00%"
"06/27/2024","1.110","1.130","1.150","1.110","-1.77%"
"06/26/2024","1.130","1.070","1.170","1.040","-1.74%"
"06/25/2024","1.150","1.090","1.190","1.060","3.60%"
"06/24/2024","1.110","1.080","1.150","1.060","-0.89%"
"06/21/2024","1.120","1.150","1.170","1.070","-0.88%"
"06/20/2024","1.130","1.150","1.350","1.110","-8.87%"
